"","Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"1589_2756",0.901205359451607,0.0611288867525704,0.0328706030662629,1.61572260687343e-08,0.00479502147175091,1.61572260686383e-08,1.61572260687343e-08,1.61572260687343e-08,1.61572260687343e-08,1.61572260687343e-08,1.61572260687343e-08,1.61572260687343e-08
"1589_4876",0.996795255430729,0.0019077637117567,0.00129685041876404,1.44931944876615e-08,1.44931944876615e-08,1.44931944876615e-08,1.44931944876615e-08,1.44931944876615e-08,1.44931944876615e-08,1.44931944876615e-08,1.44931944876615e-08,1.44931944800329e-08
"1589_5300",0.947504151375655,1.08629392675141e-08,1.08629392675141e-08,0.00246012766019224,0.0500356231976991,1.08629392675141e-08,1.08629392675141e-08,1.08629392675141e-08,1.08629392675141e-08,1.08629392675141e-08,1.08629392675141e-08,1.08629392675141e-08
"1589_8692",0.102108782347493,1.204803092864e-08,1.204803092864e-08,0.00251374320902046,0.00509889052723289,0.191855294837568,1.204803092864e-08,0.0403751429575969,0.0708867945946821,1.204803092864e-08,1.204803092864e-08,0.587161291286253
"1589_9116",0.0327648320546413,1.09495236138145e-08,1.09495236138145e-08,1.09495236138145e-08,0.0124524286465753,0.446549677978988,1.09495236138145e-08,1.09495236138145e-08,1.09495236138145e-08,0.123480632019576,1.09495236138145e-08,0.384752352653555
"1589_9540",1.04082699097949e-08,1.04082699097949e-08,1.04082699097949e-08,1.04082699097949e-08,0.0277321077994913,0.0764003935541288,1.04082699097949e-08,0.00142862893778044,0.110183692017619,1.04082699097949e-08,1.04082699097949e-08,0.784255104833091
"1589_9964",0.0322516485643963,0.00430206696716511,1.00421825129658e-08,1.00421825129658e-08,0.00106004197765895,1.00421825129658e-08,0.0652662213234054,1.00421825129658e-08,1.00421825129658e-08,1.00421825129658e-08,1.00421825129658e-08,0.897119950872097
"1589_10388",0.0491081314908015,9.97949156874765e-09,0.120193256877448,9.97949156874765e-09,9.97949156874765e-09,9.97949156874765e-09,9.97949156874765e-09,9.97949156874765e-09,0.115918821879209,0.184231356450461,9.97949156874765e-09,0.530548363445639
"1589_10812",0.0513922707392922,1.12771870734662e-08,0.0761658271268371,1.12771870734662e-08,1.12771870734662e-08,1.12771870734662e-08,1.12771870734662e-08,0.0455124652496464,0.408578988693423,1.12771870734662e-08,1.12771870734662e-08,0.418350369250492
"1589_11236",0.0106035405706205,1.08641548663277e-08,0.0988248460943167,1.08641548663277e-08,0.0503314179492811,0.0511168262630602,1.08641548663277e-08,0.102643922708982,0.0163502834204372,0.271457310624948,1.08641548663277e-08,0.398671808911734
