"Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"CLDN5",0.000298935942630243,0.00485357498534593,0,0.277520098447779,9.11311458530471e-05,0.000217283203208861,8.81075576897114e-05,0.00105005568951943,0.000101047138077191,0,8.27519478946038e-05,0.000217017920938363
"TM4SF18",0.000166292714849542,0.00217974114948988,0,0.168968051718952,0.000132800676185242,6.79976502587019e-05,4.30067365990194e-05,0,5.70935183976921e-05,0,4.81317972369857e-05,3.7787174897081e-05
"CPE",0.00520246188765837,0.00750702624758071,0.0071905109225,0.00243873468598094,0.0538199208996354,0.0121156174827741,0.00957229340863754,0.0182801266400113,0.0066493069509382,0.000214063724444236,0.0692223590179567,0.000217814309818358
"LRRN3",0.000878839785412187,0.00101860381128889,0,0.000671895307418996,0.00795404978341553,0.0121128280252502,0.00515781049731035,0.00268418965890107,0.00386200254492484,2.2087917435425e-05,0.0019321444979881,0.000339684769114672
"MYRF",0.00217329606346494,0.00224611300934476,0,0,0.13619161043159,0.00757349584539275,0.00903767260952692,0.00714754741990806,0.00232847714860518,0.000259317408756748,0.00667493266869261,0.00290870681295439
"TBX18",0.007361175105019,0.0019464953845663,0.0235873577480764,0.00295137108959914,0.11750899413452,0.0242339381250909,0.00806076885177565,0.0195684378925075,0.0135286789544541,0,0.00986206348759349,0.000484016687529283
"TNNT1",0.000330234355884135,0.000580386869454732,0.00347097218510776,0.00142894364798428,0.109113247671323,0.00250458367941455,0.000854356144618386,0.000290494259340528,0.000229377249689685,6.09416403134534e-05,0.000467094643847007,0.000514070462206232
"PCSK1N",0.000709739815548476,0.000354357241999063,0,0,0.00137578052748928,0.000108942695743183,0.00185901509026262,0,0,3.51607664233231e-05,0.00177029519507594,3.24344295605119e-05
"SBSPON",0.000225934974204556,0.0018703116464449,0,0.000468819065184117,0.0544907661692071,0.000293773076792581,8.21252407572071e-05,0.000718086369178769,7.82113348410826e-05,0.000229121743204211,0.000513534470786615,0.000741008722434032
"ITLN1",0.000136219769135992,0.00264884807712823,0.00252060508120434,0.00222587159931117,0.227845338719931,0.000211868538649168,0.000614508106715613,0.000520518293600864,0.000231461419149403,0.000173636514875083,0.000268144307577916,0.000238840852906634
"EFNA5",9.65156198695433e-05,5.23713280231409e-05,0,0.000217455633858318,0.00077839109542692,0.000294941541194129,0.00016315099251887,0.000124317529730429,0.000151465315792801,8.36124768884008e-06,0.0010670545131151,4.72385363492324e-05
"COL1A1",0.0206361527623583,0.0389746833980167,0.0432053514863467,0.00930423673990339,0.0624301982693329,0.223379913389883,0.1814939752166,0.201156207131061,0.205085617361611,0.000755873919577515,0.158165005346965,0.0048415464234182
"MFAP2",0.00743861346208153,0.0527713655927091,0.0355310160539192,0.0504082966246396,0.0540705749959533,0.0840787738154313,0.108715209745674,0.0621488415425072,0.0493986287788651,0.000527041580118779,0.0864817165630415,0.0068652804583909
"COL1A2",0.0210087602581795,0.146856876447637,0.055547547174633,0.111091801239965,0.0416506167522614,0.194810320453831,0.20084450342365,0.204905198170771,0.194084628092848,0.00199361729708562,0.166192505845793,0.00379336090161823
"PTN",0.00970479583682678,0.00418162099635923,0.0175254130481981,0.0064592900944498,0.0127766725084382,0.167038021807036,0.118030667074057,0.0374156998030307,0.128126924876848,0.000840636283377948,0.0975966068918634,0.00438809213532601
"TCF21",0.00230167635015872,0.00111271749735091,0.0118898757517349,0.00490890648271815,0.0045024373173087,0.0617767598207037,0.0369065439181543,0.0297154367550692,0.0759249632282489,9.00675806021143e-05,0.0205893172830303,0.0038494980095562
"OGN",0.00243882614006295,0.00152518720084061,0,0.00757313534851747,0.0103774725535148,0.0313649005563648,0.00639393371848079,0.00155176606320069,0.0133695455369351,0,0.0963646673966589,0.000624576948533635
"FBLN5",0.00397940541125431,0.00433992858414145,0.0113296057230749,0.00297859053999953,0.00499383407133802,0.0173938119782656,0.00905446633973673,0.00464064723735487,0.00479088805131204,3.34802683790427e-05,0.0469410787041525,0.000830697574049365
"ISLR",0.0023237513580447,0.00823055728121807,0.00778329614621109,0.0250042502048503,0.0162860342801422,0.0750425261545951,0.0324344948225854,0.0154993308172555,0.043378730434365,0.000255801866979783,0.0619313517677968,0.000733107340367729
"RSPO3",0.0026051129603229,0.00274606436943969,0,0,0.0082183142694207,0.0052063816850052,0.0543229894480818,0,0.00139573226854749,7.2767755640704e-05,0.00704028901589165,0.000554019782166562
"LUM",0.000830656054083137,0.00148782634760746,0.00116416452012114,0.00101307017417518,0.000782072396841638,0.00741367575862713,0.00278286684640341,0.00908058277156992,0.0303903076223197,9.41052286987186e-06,0.00252668420939011,0.000198041803619208
"EBF2",0.00112278520804268,0.000961989871029709,0,0,0.000151747421593309,0.0151335373597701,0.00921428637125279,0.0346058717309431,0.0494039058981068,0.00052665452026437,0.0141965645367777,0.000568715068388055
"CCDC102B",0.0011809060517443,0.00241260438024829,0,0.00543981050799207,0.00225959939593806,0.00491387210386836,0.00162721304150201,0.0636881941441565,0.0199808556700483,8.47684797015498e-05,0.00136472146267235,0.000424220046785243
"TRIL",0.0010673159441189,0.00120168764218717,0.00631919784354219,0.0032991964760338,0.0103968330704142,0.00674405005610973,0.00725395859894338,0.019367734974432,0.0290751814947765,0.000222089896094501,0.00162953589029712,0.000219902933743006
"COX4I2",0.000294931578316213,0.00078633566635525,0,0,0.000132556263469162,0.000114263503811426,0.000169862612833124,0.0100752523470586,0.00027965826666777,0,0.000170107157648204,8.40895324099021e-06
"FOXS1",0.000140936210087053,0.000415471011901709,0.00107066674577377,0.000202558573524767,0.00128257970922834,0.00111416191692784,0.0005463456725851,0.0147148705672232,0.00143565352297392,4.99555671463942e-05,0.000635806172488283,1.32120334743665e-05
"MYL3",0.052213123315499,0.0258988232032203,0.102083679269662,0.0573022570010231,0.00695617499331541,0.010238543001561,0.0102064580446673,0.0181950734528626,0.0126004089264623,0.258216661532211,0.00575961440440629,0.223791376101581
"MYH7",0.0134911754800085,0.0163144086817132,0.0539708201227926,0.0355194302278788,0.00426828736397128,0.00379454121760061,0.00342613178469534,0.0100692857162365,0.00771135599255118,0.0422751091340523,0.00151133745654621,0.310872900070519
